ALARM on 4/8/2018 9:04:32 PM - Tag AItag3 value: 99.4521895368273 | High limit: 95
ALARM on 4/8/2018 9:04:33 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:04:33 PM - Tag AItag3 value: 98.7688340595138 | High limit: 95
ALARM on 4/8/2018 9:04:34 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:04:34 PM - Tag AItag3 value: 97.8147600733806 | High limit: 95
ALARM on 4/8/2018 9:04:35 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:04:35 PM - Tag AItag3 value: 96.5925826289068 | High limit: 95
ALARM on 4/8/2018 9:04:36 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:04:36 PM - Tag AItag3 value: 95.1056516295154 | High limit: 95
ALARM on 4/8/2018 9:04:37 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:04:38 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:04:59 PM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/8/2018 9:05:00 PM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/8/2018 9:05:00 PM - Tag AItag3 value: 0 | Low limit: 5
ALARM on 4/8/2018 9:05:01 PM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/9/2018 12:29:00 AM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/9/2018 12:29:01 AM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/9/2018 12:29:02 AM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/9/2018 12:29:23 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:29:24 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:29:25 AM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/9/2018 12:29:26 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:29:27 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:29:28 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:29:29 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:29:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:29:31 AM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/9/2018 12:29:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:29:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:29:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:29:35 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:29:36 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:29:37 AM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/9/2018 12:29:38 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:29:39 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:30:00 AM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/9/2018 12:30:01 AM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/9/2018 12:30:02 AM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/9/2018 12:32:23 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:32:24 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:32:25 AM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/9/2018 12:32:26 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:32:27 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:32:28 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:32:29 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:32:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:32:31 AM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/9/2018 12:32:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:32:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:32:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:32:35 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:32:36 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:32:37 AM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/9/2018 12:32:38 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:32:39 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:33:00 AM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/9/2018 12:33:01 AM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/9/2018 12:33:02 AM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/9/2018 12:33:23 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:33:24 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:33:25 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:33:26 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:33:27 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:33:28 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:33:29 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:33:30 AM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/9/2018 12:33:31 AM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/9/2018 12:33:32 AM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/9/2018 12:33:33 AM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/9/2018 12:33:34 AM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/9/2018 12:33:36 AM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/9/2018 12:33:37 AM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/9/2018 12:33:38 AM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/9/2018 12:33:39 AM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/9/2018 12:34:00 AM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/9/2018 12:34:01 AM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/9/2018 12:34:02 AM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/9/2018 12:37:24 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:37:25 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:37:26 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:37:27 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:37:28 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:37:29 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:37:30 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:37:31 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:37:32 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:37:33 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:37:34 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:37:35 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
